Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
direccion 3785 parada 47;la direccion es 3785 , sobre la parada del 47;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00135366/23
solicitar reparación 4 6 baldosas levantado trabajo realizado organismo hacer menos 4 mes solicitar poder ir arreglar él;Solicita la reparación de las 4/6 baldosas que se han levantado y es un trabajo realizado por el organismo hace menos de 4 meses y solicita que puedan ir a arreglarlas.;reparación veredo obra mal terminado;Reparación de vereda por obra mal terminada;00083336/23
solicitar reparacion vereda hecho solo hacer 4 mes obviamente mal hecho estar varios baldosas levantado aguno roto;Solicito la reparacion de una vereda hecha solo hace 4 meses. obviamente mal hecha. estan varias de las baldosas levantadas y aguna ya rota.;reparación veredo;Reparación de vereda;00043297/23
;;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00231491/23
solicitar mas iluminacion vereda a ev escalada a ev directorio a ev jb alberdi;Solicito mas iluminacion en las veredas de la av escalada desde av directorio hasta av jb alberdi.;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00303858/23
Sres .de Ciudad Comunero zona Abasto Gallo 495 Clínica Rehabilitación ahí internado hermano Calle Gallo Humahuaca ocupado gente situación calle defecan robar;Sres.de la Ciudad y Comunero zona Abasto en Gallo 495 hay una Clínica de Rehabilitación, ahí está internado mi hermano, tanto la Calle Gallo y Humahuaca está ocupada por gente en situación de calle defecan y roban.;ocupación indebido mantero vendedor ambulante;Ocupación indebida por mantero o vendedor ambulante;00087090/23
patio juego de el .paseo versaille alrededor mismo farola luz poco iluminación hacer rato recomendar comuna 10 llamar empresa autrotol arreglo mantenimiento alumbrado sector barragan peralta;En el patio de juegos del.paseo de versailles y alrededores al mismo hay farolas sin luz poca iluminación hace rato se recomienda a la comuna 10 que llame a la empresa autrotol para su arreglo y mantenimiento del alumbrado sector barragan y peralta;mantenimiento patio juego parque plaza;Mantenimiento de patio de juegos en parque/plaza;00084030/23
barre calle Barragán 700 800 vereda par impar . loehar vecino Versalles pedir Nitida hacer favor;No se barre en la calle Barragán del 700 a 800 vereda par e impar .Lo.hacemos los vecinos de Versalles pedir a Nitida que lo haga por favor;propuesta mejorar trámite;Propuestas para la mejora en trámites;00138873/23
pasar;Paso;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00007242/23
domingo mismo tambor borracho mean tacho basura revolver tacho basura vereda esperar colectivo umbral dejar sucio aunque container 2 metro Harta;Todos los domingos lo mismo. Los tambores, los borrachos, los que mean en el tacho de basura, los que revuelven el tacho de basura en mi vereda, los que esperan el colectivo en mi umbral y dejan todo sucio aunque este el container a 2 metros. Harta!!;ruido molesto vibración;Ruidos molestos y vibraciones;00116782/23
vecina indicar querer canalizar reportar arbolado siempre acercar podar solo poder 2 rama aportar generar malestar además indicar nunca pedir querer reportar gestión colaborativo tampoco permitir indicar ciudad querer escuchar pensamiento vecino;La vecina indica que quiso canalizar un reporte por arbolado ya que siempre que se acercan a podar solo podan 2 ramas y no aportan en nada y eso genera malestar. Además indica que ella nunca lo pidió, cuando quiso reportar esto por gestión colaborativa tampoco se lo permitió e indica que esto es porque la ciudad no quiere escuchar el pensamiento de los vecinos.;propuesta mejorar trámite;Propuestas para la mejora en trámites;00014759/23
vecina solicitar ir retirar resto poder realizar el día 09 01 23 fecha retirar;La vecina solicita que vayan a retirar los restos de la poda que fueron a realizarla el día 09/01/23 y desde esa fecha no las retiraron.;faltar recolección resto poder arbolado público;Falta de recolección de restos de poda de arbolado público;00022963/23
monticulo PODA hico GOBIERNO ciudad;ES UN MONTICULO DE PODA QUE HIZO EL GOBIERNO DE LA CIUDAD;faltar recolección resto poder arbolado público;Falta de recolección de restos de poda de arbolado público;00039058/23
poda árbol enfrente vía ferrocarril San Martin árbol ubicado vía;Poda de árbol enfrente de las vías del ferrocarril San Martin árbol ubicado en las vías;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00034589/23
vecina solicitar mayor iluminación cuadra frente vía tren arbol zona recién podado llegar dar buen iluminación;vecina solicita mayor iluminación de la cuadra ya que esta en frente a las vías del tren. y los arboles que hay en la zona ni recién podados llegan a dar buena iluminación;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00113518/23
vecina solicitar fumigación barrio;vecina solicita la fumigación del barrio;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00299065/23
vecina solicitar recolección resto obra realizar lado domicilio dejar escombro vereda;la vecina solicita la recolección de restos de una obra que se realizo al lado de su domicilio y dejaron los escombros en su vereda;resto obra vereda impedir paso;Restos de obra en vereda que impiden el paso;00113464/23
24 año llevar vivir ahí NUNCA podado árbol realizado pedido varios año incluso llamado número urgencia rama partir quedar colgar Podan alrededor nunca cada vez tormenta incluso día buen tiempo caer rama hoy caer arrancar cable ... aparte rama tanto largo pegir techo raer zinguería tapar perjudicar propiedad;En 24 años que llevo viviendo ahí, NUNCA fue podado ese árbol. He realizado el pedido varios años, incluso he llamado al número de urgencia cuando una rama se partió y quedó colgando. Podan los de alrededor pero nunca ese. Cada vez que hay tormenta, o incluso en días con buen tiempo, se caen ramas. Hoy se cayó una y arrancó un cable... Aparte de que las ramas están tan largas que pegan contra mi techo, rayan la zinguería, las tapan y perjudican mi propiedad.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00083877/23
martes 14 pedir retiro resto jardinería domiciliario bajo trámite 00157737 23.- viernes 17 retirado así comunicar 147 reclamar .- decir constatar si pasar volver reclamar .- hoy todavía pasar consulto trámite aparecer cumplido;El martes 14 pedí el retiro de restos de jardinería domiciliaria bajo el trámite 00157737/23.- Hasta el viernes 17 no lo habían retirado así que me comuniqué con el 147 para reclamar.- Me dijeron que estaban constatando y que si no pasaban, volviera a reclamar.-  Hoy todavía no pasaron y cuando consulto por el trámite aparece como CUMPLIDO??????;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00192442/23
retiro poder árbol;Retiro poda árbol;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00157737/23
luminaria ubicado Hamburgo 3000 casi esquina Barzana permanecer mayor parte noche apagado convertir cuadra zona peligroso transitar debido oscuridad tema sumo mismo cuadra Hamburgo 3000 encontrar iglesia San Alfonso poseer iluminación alguno sólo poste luminario cuadra cuestión verdadero `` boca lobos ' ' vecino alerta continuar situación necesitar agregar luminaria proteger yo necesitar poner luminaria nunca el .hubo;La luminaria ubicada en Hamburgo al 3000, casi esquina Barzana permanece la mayor parte de la noche apagada, lo que convierte a esa cuadra en zona peligrosa para transitar debido a la oscuridad. A este tema se suma que en  esa misma cuadra, (Hamburgo 3000) se encuentra la iglesia de San Alfonso y no posee iluminación alguna. Sólo postes sin luminaria. Esta cuadra en cuestión es una Verdadera "boca de lobos".  Los vecinos estamos en alerta continúa por esta situación. Necesitamos que agreguen luminarias para protegernos. Necesitamos que pongan luminarias donde nunca las.hubo.;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00310575/23
TODO .EL;ES TODO.EL;faltar conservación mantenimiento fachada balcón;Falta de conservación o mantenimiento de fachada o balcón;00310607/23
quitar rama seco palmera riesgo caída Gracias;Quitar ramas secas de palmera, con riesgo de caída. Gracias;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00080908/23
Iluminaria apagado esquina bahía blanco Ladines altura leer Gracias;Iluminaria apagada sobre la esquina de bahía blanca y Ladines tanto la de altura como la de leer. Gracias;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00080877/23
retiro planta jardinería hubicado l vereda;Retiro de plantas de jardinería hubicada sobre l vereda;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00270279/23
tirar ropero;Tirar un ropero;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00199032/23
pasar;Paso;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00199066/23
pasar;Paso;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00198988/23
Auto pleno vía público tirado vereda deteriorar abandonado hacer mes presentar disparo parabrisa;Auto en PLENA vía pública (tirado en nuestra vereda), deteriorado, abandonado hace meses. Presenta disparos en el parabrisas.;remoción vehículo abandonado;Remoción de vehículo abandonado;00088838/23
vecina solicitar mejora barrer vereda cuadra Túnez;La vecina solicita la mejora de barrido en la vereda/cuadra de Túnez;mejora barrer;Mejora de barrido;00138122/23
solicitar barrendero dirección informar pasaje indicar barrendero pasar constantemente lugar limpiar vereda zona pasaje;solicita el barrendero en la dirección informa que es un pasaje y indica que el barrendero no pasa constantemente al lugar a limpiar las veredas de la zona del pasaje.;mejora barrer;Mejora de barrido;00188080/23
vecina solicitar extracción árbol encontrar seco debido enfermo lugar solicitar plante nuevo árbol;Vecina solicita la extracción de un árbol el cual ya se encuentra seco debido a que estaba enfermo. Y en su lugar solicita que se plante un nuevo árbol.;extracción árbol;Extracción de árbol;00050464/23
vecina comentar larva mosquito;vecina comenta que hay larvas y mosquitos;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00294014/23
casi todo avenida luminario apagado romper vía curva rotonda señalizado desvío peligroso iluminación indispensable seguridad ciudadano;Casi toda la avenida está con las luminarias apagadas o rotas. Es una vía con curvas y rotondas no señalizadas y desvíos que son peligrosos. La iluminación es indispensable para la seguridad de todo ciudadano.;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00076691/23
vecino solicitar reparacion luminario indicar hacer demaciado tiempo funciano solicitar pronto solucion;El vecino solicita la reparacion de luminaria. indica que hace demaciado tiempo no funciana. Solicita una pronta solucion.;reparación luminario artefacto roto;Reparación de luminaria por artefacto roto;00259371/23
vecino solicitar reparacion luminario indicar hacer demaciado tiempo funciano solicitar pronto solucion;El vecino solicita la reparacion de luminaria. indica que hace demaciado tiempo no funciana. Solicita una pronta solucion;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00259507/23
vecina informar árbol vereda rama tanto alto llegar techo vivienda solicitar poda temer poder subir rama ingresar domicilio;La vecina informa que tiene un árbol en la vereda el cual ramas están tan altas que llegan al techo de su vivienda. Solicita la poda porque teme que se puedan subir por las ramas para ingresar en su domicilio.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00230386/23
10 bolsa residuo poder hacer 1 semana pedir recolección;Hay 10 bolsas de residuos de poda. hace 1 semana que pedí su recolección;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00119347/23
;;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00105015/23
día 21 corriente solicitar retiro resto poder solicitud número 00105015 23 todavía pasar retirar él;El día 21 del corriente solicité el retiro de restos de poda(solicitud número 00105015/23)y todavía no pasaron a retirarlos;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00116940/23
vecina solicitar poda árbol plaza indicar lado plaza empresa trabajar empresa playón estacionamiento comentar árbol grande añoso apoyar medianera temer caer estacionamiento;Vecina solicita la poda de los árboles de la plaza ya que indica que al lado de la plaza hay una empresa donde ella trabaja. La empresa tiene un playón de estacionamiento y comenta que hay árboles muy grandes y añosos que se apoyan sobre la medianera, teme que caigan sobre el estacionamiento.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00058590/23
vecina necesitar retirar bolsa veredo;vecina necesita que retiren las bolsas de a vereda;retiro escombro resto obra;Retiro de escombros / restos de obra;00088411/23
buen tarde cama .lastico pequeño plaza hacer mes roto vez cinta clausura usar vez cinta niño saltar igual roto Podria existir posibilidad reparar el niño encantar juego mucho gracias;Buenas tardes. La cama.elastica pequeña de la plaza hace meses esta rota. A veces tiene cinta de clausura para que no se use, otras veces la cinta no esta y los niños saltan igual estando rota.  Podria existir la posibilidad de repararla? Ya que a los niños les encanta ese juego. Desde ya muchas gracias;mantenimiento patio juego parque plaza;Mantenimiento de patio de juegos en parque/plaza;00085869/23
madera pie árbol;las maderas están al pie del árbol;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00021754/23
vecina solicitar retiro residuo voluminoso Gracias;La vecina solicita el retiro de residuos voluminosos. Gracias;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00008586/23
indicar vecina boca incendio agua dañada pierder mucha agua vereda calle;INDICA LA VECINA QUE LA BOCA DE INCENDIO DE AGUA, ESTA DAÑADA Y PIERDE MUCHA AGUA TANTO POR LA VEREDA COMO POR LA CALLE;destapar sumidero alcantarilla boca registro pluvial;Destape de sumidero/alcantarilla o boca de registro pluvial;00124975/23
solicitar realización nuevo vereda dado existente encontrar roto lugar pozo soler cubrir hoja ser peligroso transeúnte desconocer rotura existente debajo mismo informo actualmente realizar tipo trabajo cuadra mucho gracias;Solicito la realización nueva de la vereda, dado que la existente se encuentra rota en algunos lugares y con un pozo que se suele cubrir de hojas siendo peligroso para los transeúntes que desconocen la rotura existente debajo de las mismas. Le informo que actualmente están realizando este tipo de trabajos en la cuadra. Muchas gracias.;reparación veredo;Reparación de vereda;00346243/23
estar entrar rata calle obrado ciudad buen aire red desague saco rata muerto vivo entrar edificio;Estan entrando ratas desde la calle ,  El obrados de la ciudad de buenos aires por la red de desagues saco ratas muertas y también vivas que están entrando a los edificios;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00074894/23
pedir instalación parada mundial deteriorar respaldo roto silla sacado;Se pide la instalación de la parada, durante el mundial fue deteriorado. El respaldo esta roto y las sillas fueron sacadas.;instalación parada colectivo;Instalación de parada de colectivo;00146376/23
vecina indicar espacio reservado estacionamiento certificado discapacidad ultimo tiempo realizar obra cuadra específicamente reparar bache reemplazar pavimento borrar espacio demarcado estacionamiento fecha volver repintar;La vecina indica que tiene un espacio reservado para estacionamiento por su certificado de discapacidad. Este ultimo tiempo realizaron obras en su cuadra, específicamente reparando baches. Al reemplazar este pavimento le borraron el espacio demarcado para su estacionamiento y hasta la fecha no lo volvieron a repintar.;repintado reparación marca vial calle cordón;Repintado / reparación de marca vial en calle o cordón;00003846/23
poda árbol DESPEJE luminaria;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00350120/23
solicitar plantación árbol eucaliptu árbol lugar sacar encontrar salir vereda edificio 21 20;Solicita la plantación de un árbol, que no se un eucaliptus. Había un árbol en el lugar y lo sacaron. Se encuentra entre saliendo a la vereda de los edificios 21 y 20.;plantación árbol;Plantación de árbol;00075946/23
solicitar reparación veredo pedir talir árbol sacar lugar solo pedir reparación vereda roto raíz;Solicita reparación de vereda. Pide que NO talen el árbol o lo saquen del lugar. Solo pide la reparación de la vereda que esta rota por las raíces.;reparación veredo raíz árbol producir rotura;Reparación de vereda por raíces de árbol que producen roturas;00075923/23
solicitar urgencia retiro valla realizar practica vial licencia CONDUCIR debido reiterado ruido molesto finalizar jornada diaria comienzan distinto grupo alumno escuela CONDUCIR posteriormente particular 24 HS inclusive sabado dominao;SE SOLICITA CON URGENCIA EL RETIRO DE LAS VALLAS DE DONDE SE REALIZA LA PRACTICA VIAL DE LICENCIAS DE CONDUCIR. DEBIDO A LOS REITERADOS RUIDOS MOLESTOS QUE CUANDO FINALIZAN LA JORNADA DIARIA COMIENZAN DISTINTOS GRUPOS DE ALUMNOS DE ESCUELAS DE CONDUCIR Y POSTERIORMENTE PARTICULARES. DURANTE LAS 24 HS. INCLUSIVE LOS SABADOS Y DOMINGOS.;ruido molesto vibración;Ruidos molestos y vibraciones;00185812/23
vecina solicitar realizar retiro bolsa escombro Gracias;La vecina solicita que se realice un retiro de bolsas de escombro. Gracias;resto obra vereda impedir paso;Restos de obra en vereda que impiden el paso;00068535/23
vecina solicitar retiro bolsa escombro Gracias;La vecina solicita un retiro de bolsas de escombro. Gracias;retiro escombro resto obra;Retiro de escombros / restos de obra;00068544/23
vecina comentar personal comuna realizar tarea reparación dejar adoquin vereda calle Menciona sufrir accidente motivo Solicita retiro mismo Gracias;La vecina comenta que personal de la comuna realizo tareas de reparación y dejaron adoquines en su vereda y calle. Menciona que sufrió un accidente por este motivo. Solicita el retiro del mismo. Gracias.;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00073986/23
vecina comentar personal comuna realizar tarea reparación dejar adoquin vereda calle Menciona sufrir accidente motivo Solicita retiro mismo Gracias Rivera Indarte a ev 556 Comuna 7;La vecina comenta que personal de la comuna realizo tareas de reparación y dejaron adoquines en su vereda y calle. Menciona que sufrió un accidente por este motivo. Solicita el retiro del mismo. Gracias.  Rivera Indarte Av. 556, Comuna 7;resto obra vereda impedir paso;Restos de obra en vereda que impiden el paso;00073988/23
estacionado parada colectivo;Estacionado en parada de colectivo;vehículo mal estacionado;Vehículo mal estacionado;00085499/23
vehículo estacionado parada colectivo;Vehículo estacionado en parada de colectivo;vehículo mal estacionado;Vehículo mal estacionado;00141867/23
vehículo estacionado parada colectivo;Vehículo estacionado en parada de colectivo;vehículo mal estacionado;Vehículo mal estacionado;00141858/23
vehículo estacionado parada colectivo;Vehículo estacionado en parada de colectivo;vehículo mal estacionado;Vehículo mal estacionado;00225421/23
vehículo estacionado parada colectivo;Vehículo estacionado en parada de colectivo;vehículo mal estacionado;Vehículo mal estacionado;00258909/23
estacionado parada colectivo;Estacionado en parada de colectivo;vehículo mal estacionado;Vehículo mal estacionado;00311011/23
solicitar desratización cuadra vecino informar obra debajo viaducto ferrocarril mitre barrio chino Belgrano ahí empezar ver mucho rata;solicita la desratización de la cuadra de la vecina , informa que hubo  una obra en debajo de viaducto del ferrocarril de mitre barrio chino de Belgrano , desde ahí empezó a ver muchas ratas .;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00078090/23
vecina solicitar poda despejar luminaria arbol emplazado posicion 2491 llegar esquina santo tomar adema informar arbol enfermo bicho;la vecina solicita la poda de despeje de luminaria de los arboles emplazados en las posicion 2491 y los llegando a esquina de santo tome. ademas informa que el arbol esta enfermo con bichos.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00010086/23
solicitar favor cartel Despacio escuela colegio 10 D.e 18 cámara infractor velocidad transitir alto velocidad tomar Belaustegui evitar Juan B Justo colegio respetar límite;Solicito por favor cartel de Despacio escuela en el colegio 10 D.e 18 y cámara infractora de velocidad. Se transita a muy alta velocidad ya que toman Belaustegui para evitar Juan B Justo y hay un colegio. No se respeta los límites.;reparación señal tránsito;Reparación de señal de tránsito;00174272/23
buena tardes adjunto foto ir uno persona estar corriendo CONTENEDOR llevandolo esquina Quesada CUBA solicitar vuelavan ubicar mismo LUGAR encontraba;BUENAS TARDES   ADJUNTO FOTO DONDE SE VE QUE UNAS PERSONAS ESTAN CORRIENDO EL CONTENEDOR LLEVANDOLO PARA LA ESQUINA DE QUESADA Y CUBA, SE SOLICITA QUE VUELAVAN A UBICAR EL MISMO EN EL LUGAR QUE SE ENCONTRABA;queja Contenedores basura;Queja por Contenedores de basura;00065388/23
Limpieza contenedor Huele podrido;Limpieza de contenedor. Huele a podrido;Limpieza Campana residuo diseminado alrededor;Limpieza de Campana y/o residuos diseminados alrededor;00053592/23
árbol riesgo quebrar él;Árbol en riesgo de quebrarse;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00022172/23
vehículo estacionado vereda peatonal impedir paso peatonal;Vehículo estacionado en vereda peatonal impidiendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00004348/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00046745/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00048143/23
vehículo estacionado entrada garage impedir entrada salido auto garage;Vehículo estacionado en una entrada de garage impidiendo entrada y salida de los autos del garage;vehículo mal estacionado;Vehículo mal estacionado;00053299/23
vehículo estacionado vereda entrada garage impedir paso peatón entrada salido vehículo;Vehículo estacionado en la vereda y en entrada de garage impidiendo el paso de peatones y la entrada y salida de vehículos;vehículo mal estacionado;Vehículo mal estacionado;00072826/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00082493/23
vehículo estacionado entrada garage impedir salida entrada vehículo garage;Vehículo estacionado en entrada de garage impidiendo la salida y entrada de vehículos al garage;vehículo mal estacionado;Vehículo mal estacionado;00075045/23
moto estacionado entrada garage impedir entrada salido auto;Moto estacionada en entrada de garage impidiendo entrada y salida de autos;vehículo mal estacionado;Vehículo mal estacionado;00080204/23
vehículo estacionado entrada garage impedir paso peatonal vehicular;Vehículo estacionado en entrada de garage impidiendo el paso peatonal y vehicular;vehículo mal estacionado;Vehículo mal estacionado;00073879/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00107884/23
moto estacionado vereda peatonal impedir paso peatonal;Moto estacionada en vereda peatonal impidiendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00131725/23
vehículo estacionado entrada garage;Vehículo estacionado en una  entrada de garage;vehículo mal estacionado;Vehículo mal estacionado;00141665/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00158098/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00170764/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00316229/23
vehículo mal estacionado zona prohibido;Vehículo mal estacionado en zona prohibida;vehículo mal estacionado;Vehículo mal estacionado;00338864/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00316252/23
moto estacionado vereda peatonal obstruir paso peatonal;Moto estacionada en vereda peatonal obstruyendo el paso peatonal;vehículo mal estacionado;Vehículo mal estacionado;00364723/23
Vecina solicitar retiro 15 bolsa escombro;Vecina solicita el retiro de 15 bolsas de escombros.;retiro escombro resto obra;Retiro de escombros / restos de obra;00174071/23
sacuir valla hacer día apoyado árbol Urgente trabajar nadie ver;Saquen estas vallas que están hace días apoyadas en el árbol! Urgente!! Trabajen, esto nadie lo ve?;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00124834/23
pedir retiro valla apoyado árbol pedir anteriormente solicitud dar cumplido aun seguir residuo;Se pide retiro de vallas apoyadas sobre árbol. Se pidió anteriormente una solicitud y se dio por cumplido, aun siguen los residuos.;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00136766/23
retirar residuo contenedor;Retirar residuos fuera del contenedor!;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00250529/23
l vecino solicitar retiro objeto utilizar;L a vecina solicita retiro de un objeto que ya no utiliza.;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00134530/23
vecina solicitar recolección residuo contenedor;La vecina solicita la recolección de residuos fuera del contenedor.;queja Contenedores basura;Queja por Contenedores de basura;00078915/23
encargado edifico lava vereda día 9 hora encima destruido arreglar lleno agua obligar peatón circular calle;La encargada del edifico lava la vereda todos los días a las 9 horas, encima que está destruida y no arreglan, se llena de agua y obliga a los peatones a circular por la calle.;uso indebido agua limpiar vereda;Uso indebido del agua para limpiar las veredas;00030197/23
vehículo foto estacionado ocupar estacionamiento;El vehículo de la foto está estacionado ocupando mucho de mi estacionamiento;vehículo mal estacionado;Vehículo mal estacionado;00151201/23
vehículo ocupar garage casa observar primero foto enviar denuncia 00179100 23 desestimar virtud ver entorno él así primero foto enviar ver vehículo ocupar garage casa;El vehículo está ocupando el garage de mi casa y eso se observa en la primera foto que envíe. La denuncia 00179100/23 fue desestimada en virtud que no se veía el entorno pero ello no es así ya que la primer foto que envíe se ve como el vehículo está ocupando el garage de mi casa.;vehículo mal estacionado;Vehículo mal estacionado;00185597/23
ocupar garage casa;Está ocupando el garage de mi casa;vehículo mal estacionado;Vehículo mal estacionado;00179100/23
vehículo ocupar parte bajado garage permitir sacar vehículo;El vehículo está ocupando parte de mi bajada de garage. No me permitió sacar mi vehículo.;vehículo mal estacionado;Vehículo mal estacionado;00367829/23
ocupar subida garage casa dejar auto afuero;Está ocupando la subida al garage de mi casa. Tuve que dejar el auto afuera.;vehículo mal estacionado;Vehículo mal estacionado;00367834/23
hacer 2 día funcionar luminaria doble cuyo poste ubicado esquina a ev Daract mano impar ir hacia a ev Riestra Somellera cercano contenedor basura negro verde ubicado Daract favor seguridad solicitar reparación ¡ ¡ ¡ Urgente;Desde hace 2 días no funciona la luminaria (doble) cuyo poste está ubicado en la esquina de Av. Daract mano impar (la que va hacia Av. Riestra) y Somellera, cercano a los contenedores de basura negro y verde ubicados en Daract. Por favor por  seguridad solicito  reparación ¡¡¡Urgente!!!;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00351845/23
escrito pared tres oportunidad cámara domo justo esquina esfuerzo puesto valor fachada edificio dar cumplimiento Ley n257 pesar cámara impedir vandalización;Han escrito la pared en tres oportunidades teniendo una cámara domo justo en la esquina. Con mucho esfuerzo hemos puesto en valor las fachadas del edificio para dar cumplimiento a la Ley N257 y a pesar de la cámara, nada impide la vandalización.;pintura grafitis;Pintura sobre grafitis;00361451/23
tratar árbol año frondoso caído rama porte considerable resultar riesgo vecino incluso rama romper atrapado ramaje soltar viento;Se trata de un árbol años. Muy frondoso. Ya se han caído ramas, algunas de porte muy considerable. Resulta un riesgo para los vecinos. Incluso hay ramas rotas atrapadas entre el ramaje que se sueltan con el viento.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00068069/23
solicita reparacion vereda estar elevada;SOLICITA REPARACION DE VEREDA PORQUE ESTAN ELEVADAS.;reparación veredo;Reparación de vereda;00060114/23
resto residuo afuera contenedor mosca presencia rata olor;Restos de residuos afuera del contenedor,  moscas , presencia de ratas ,olores;queja Contenedores basura;Queja por Contenedores de basura;00084616/23
Caja luz q dar faroles d cuadra abrir peligro paso d corriente . ... . .;Caja de luz q da a los faroles d la cuadra ,  se abre , peligro por paso d corriente ......;reparación tapa faltante deteriorado columna alumbrado;Reparación de tapa faltante / deteriorada en columna de alumbrado;00186904/23
2 Contenedores q mal ubicado primero obstruir visión ver si venir auto segundo.auto obstruir lugar d contenedor;2 Contenedores q están mal ubicados, el primero obstruye visión para ver si vienen autos , y el segundo.auto obstruyendo el lugar d contenedor .;queja Contenedores basura;Queja por Contenedores de basura;00187821/23
Luz prendido día;Luz prendida todo el día;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00195489/23
grafitis paredón escuela q citar dirección calle anchorena 441;Grafitis sobre paredón de escuela q cita dirección ,  sobre la calle anchorena 441;pintura grafitis;Pintura sobre grafitis;00245599/23
farol encendido día altura 3163 altura 3191 calle valentin gomez;El farol está encendido todo el día,  está entre la altura de 3163 y la altura de 3191 de la calle valentin gomez;reparación luminario encendido día;Reparación de luminaria encendida durante el día;00245683/23
